aggregation,condition,metric,class_id,class_name,support,n_bootstrap,bootstrap_seed,mean,lower_95,upper_95
three_seed_mean,wo_kd,accuracy,,,950,2000,20260716,0.8810094736842106,0.8621052631578947,0.8992982456140352
three_seed_mean,wo_kd,weighted_f1,,,950,2000,20260716,0.8956492785759567,0.8788805573637,0.9121007489405948
three_seed_mean,wo_kd,macro_f1,,,950,2000,20260716,0.7592492213882955,0.7377137702518564,0.7809434599637817
three_seed_mean,logits_kd,accuracy,,,950,2000,20260716,0.907167543859649,0.8901754385964913,0.924219298245614
three_seed_mean,logits_kd,weighted_f1,,,950,2000,20260716,0.9076445159765554,0.8911137066183425,0.9246771099619691
three_seed_mean,logits_kd,macro_f1,,,950,2000,20260716,0.8456583916069135,0.7966244375920258,0.8913480387393734
three_seed_mean,logits_kd_minus_wo_kd,accuracy,,,950,2000,20260716,0.026158070175438596,0.01789473684210526,0.03508771929824561
three_seed_mean,logits_kd_minus_wo_kd,weighted_f1,,,950,2000,20260716,0.011995237400598704,0.005141264293833968,0.019033587142937864
three_seed_mean,logits_kd_minus_wo_kd,macro_f1,,,950,2000,20260716,0.08640917021861796,0.047678315669690004,0.12308854552795365
three_seed_mean_class_f1,wo_kd,class_f1,0.0,affected_individuals,7,2000,20260716,0.19965855023775528,0.1397570413340902,0.26581902142422703
three_seed_mean_class_f1,wo_kd,class_f1,1.0,infrastructure_and_utility_damage,78,2000,20260716,0.9160230474006124,0.8755192157772769,0.9518529392082125
three_seed_mean_class_f1,wo_kd,class_f1,2.0,rescue_volunteering_or_donation_effort,126,2000,20260716,0.8835147125965366,0.8467511440555444,0.9176998328276607
three_seed_mean_class_f1,wo_kd,class_f1,3.0,other_relevant_information,235,2000,20260716,0.8885373391413746,0.8617805777700674,0.9145839343291801
three_seed_mean_class_f1,wo_kd,class_f1,4.0,not_humanitarian,504,2000,20260716,0.9085124575651989,0.890867013549327,0.9248440896680555
three_seed_mean_class_f1,logits_kd,class_f1,0.0,affected_individuals,7,2000,20260716,0.6117503284037918,0.3908630952380952,0.8176184640522876
three_seed_mean_class_f1,logits_kd,class_f1,1.0,infrastructure_and_utility_damage,78,2000,20260716,0.9105265393880276,0.8665346627128799,0.9493419212698209
three_seed_mean_class_f1,logits_kd,class_f1,2.0,rescue_volunteering_or_donation_effort,126,2000,20260716,0.889441390972214,0.8526273117178164,0.9240560947704105
three_seed_mean_class_f1,logits_kd,class_f1,3.0,other_relevant_information,235,2000,20260716,0.8946609363874091,0.8684278518280756,0.9208147882648369
three_seed_mean_class_f1,logits_kd,class_f1,4.0,not_humanitarian,504,2000,20260716,0.9219127628831247,0.9069430015580827,0.9369431042545245
