seed,sample_id,true_label,wo_prediction,logits_kd_prediction,change
3407,921821681018200064_0,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,not_humanitarian,wo_correct_kd_wrong
3407,909757379620872193_0,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,not_humanitarian,wo_correct_kd_wrong
3407,909875460443561984_0,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,not_humanitarian,wo_correct_kd_wrong
3407,923654546764611584_0,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,not_humanitarian,wo_correct_kd_wrong
3407,916110012619132928_0,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,not_humanitarian,wo_correct_kd_wrong
3407,909876268975435776_0,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,infrastructure_and_utility_damage,wo_correct_kd_wrong
42,908162986291818496_0,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,not_humanitarian,wo_correct_kd_wrong
42,905252739109724160_0,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,infrastructure_and_utility_damage,wo_correct_kd_wrong
42,922942024411766784_0,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,not_humanitarian,wo_correct_kd_wrong
2024,921821681018200064_0,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,not_humanitarian,wo_correct_kd_wrong
2024,909757379620872193_0,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,not_humanitarian,wo_correct_kd_wrong
2024,914342444644188160_0,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,not_humanitarian,wo_correct_kd_wrong
2024,910524408778731521_0,rescue_volunteering_or_donation_effort,rescue_volunteering_or_donation_effort,not_humanitarian,wo_correct_kd_wrong
